VCD info: dumpfile wave.vcd opened for output.
WARNING: testbench_top.v:87: $readmemh(input_mem.csv): Too many words in the file for the requested range [0:255].
T=  30.00 ns: --- Sending comp_enb pulse ---
T=  40.00 ns: Waiting for 'done' signal from accelerator...
PE_DBG[0][0] @2605.00 ns: CLEAR_ACC. Acc/mul/flags/MAC_count reset. DoneLatch reset. (MAC_TGT=32)
PE_DBG[0][1] @2605.00 ns: CLEAR_ACC. Acc/mul/flags/MAC_count reset. DoneLatch reset. (MAC_TGT=32)
PE_DBG[0][2] @2605.00 ns: CLEAR_ACC. Acc/mul/flags/MAC_count reset. DoneLatch reset. (MAC_TGT=32)
PE_DBG[0][3] @2605.00 ns: CLEAR_ACC. Acc/mul/flags/MAC_count reset. DoneLatch reset. (MAC_TGT=32)
PE_DBG[31][31] @2605.00 ns: CLEAR_ACC. Acc/mul/flags/MAC_count reset. DoneLatch reset. (MAC_TGT=32)
PE_DBG_ACCUM[0][0] @2635.00 ns: En=1 DoneLatch=0| MACsDone(cur)=0, MACsDone(next_calc)=1/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=0000 | mul_out(new_mulR)=0000 add_out(new_acc)=0000
PE_DBG_ACCUM[0][3] @2865.00 ns: En=1 DoneLatch=0| MACsDone(cur)=20, MACsDone(next_calc)=21/32 | a_R=c040(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=4080 | mul_out(new_mulR)=8000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][3] @2875.00 ns: En=1 DoneLatch=0| MACsDone(cur)=21, MACsDone(next_calc)=22/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=4080 | mul_out(new_mulR)=0000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][2] @2875.00 ns: En=1 DoneLatch=0| MACsDone(cur)=22, MACsDone(next_calc)=23/32 | a_R=c080(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=41b8 | mul_out(new_mulR)=8000 add_out(new_acc)=41b8
PE_DBG_ACCUM[0][1] @2875.00 ns: En=1 DoneLatch=0| MACsDone(cur)=23, MACsDone(next_calc)=24/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=4270 | mul_out(new_mulR)=0000 add_out(new_acc)=4270
PE_DBG_ACCUM[0][0] @2875.00 ns: En=1 DoneLatch=0| MACsDone(cur)=24, MACsDone(next_calc)=25/32 | a_R=0000(v1) b_R=c0c0(v1) | mul_R(old)=0000(v1) acc_R(old)=42c0 | mul_out(new_mulR)=8000 add_out(new_acc)=42c0
PE_DBG_ACCUM[0][0] @2885.00 ns: En=1 DoneLatch=0| MACsDone(cur)=25, MACsDone(next_calc)=26/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=42c0 | mul_out(new_mulR)=0000 add_out(new_acc)=42c0
PE_DBG_ACCUM[0][1] @2885.00 ns: En=1 DoneLatch=0| MACsDone(cur)=24, MACsDone(next_calc)=25/32 | a_R=0000(v1) b_R=c040(v1) | mul_R(old)=0000(v1) acc_R(old)=4270 | mul_out(new_mulR)=8000 add_out(new_acc)=4270
PE_DBG_ACCUM[0][2] @2885.00 ns: En=1 DoneLatch=0| MACsDone(cur)=23, MACsDone(next_calc)=24/32 | a_R=0000(v1) b_R=c0e0(v1) | mul_R(old)=8000(v1) acc_R(old)=41b8 | mul_out(new_mulR)=8000 add_out(new_acc)=41b8
PE_DBG_ACCUM[0][3] @2885.00 ns: En=1 DoneLatch=0| MACsDone(cur)=22, MACsDone(next_calc)=23/32 | a_R=c080(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=4080 | mul_out(new_mulR)=8000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][3] @2895.00 ns: En=1 DoneLatch=0| MACsDone(cur)=23, MACsDone(next_calc)=24/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=4080 | mul_out(new_mulR)=0000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][2] @2895.00 ns: En=1 DoneLatch=0| MACsDone(cur)=24, MACsDone(next_calc)=25/32 | a_R=0000(v1) b_R=c0a0(v1) | mul_R(old)=8000(v1) acc_R(old)=41b8 | mul_out(new_mulR)=8000 add_out(new_acc)=41b8
PE_DBG_ACCUM[0][1] @2895.00 ns: En=1 DoneLatch=0| MACsDone(cur)=25, MACsDone(next_calc)=26/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=4270 | mul_out(new_mulR)=0000 add_out(new_acc)=4270
PE_DBG_ACCUM[0][0] @2895.00 ns: En=1 DoneLatch=0| MACsDone(cur)=26, MACsDone(next_calc)=27/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=42c0 | mul_out(new_mulR)=0000 add_out(new_acc)=42c0
PE_DBG_ACCUM[0][0] @2905.00 ns: En=1 DoneLatch=0| MACsDone(cur)=27, MACsDone(next_calc)=28/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=42c0 | mul_out(new_mulR)=0000 add_out(new_acc)=42c0
PE_DBG_ACCUM[0][1] @2905.00 ns: En=1 DoneLatch=0| MACsDone(cur)=26, MACsDone(next_calc)=27/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=4270 | mul_out(new_mulR)=0000 add_out(new_acc)=4270
PE_DBG_ACCUM[0][2] @2905.00 ns: En=1 DoneLatch=0| MACsDone(cur)=25, MACsDone(next_calc)=26/32 | a_R=0000(v1) b_R=c000(v1) | mul_R(old)=8000(v1) acc_R(old)=41b8 | mul_out(new_mulR)=8000 add_out(new_acc)=41b8
PE_DBG_ACCUM[0][3] @2905.00 ns: En=1 DoneLatch=0| MACsDone(cur)=24, MACsDone(next_calc)=25/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=4080 | mul_out(new_mulR)=0000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][3] @2915.00 ns: En=1 DoneLatch=0| MACsDone(cur)=25, MACsDone(next_calc)=26/32 | a_R=0000(v1) b_R=c110(v1) | mul_R(old)=0000(v1) acc_R(old)=4080 | mul_out(new_mulR)=8000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][2] @2915.00 ns: En=1 DoneLatch=0| MACsDone(cur)=26, MACsDone(next_calc)=27/32 | a_R=0000(v1) b_R=bf80(v1) | mul_R(old)=8000(v1) acc_R(old)=41b8 | mul_out(new_mulR)=8000 add_out(new_acc)=41b8
PE_DBG_ACCUM[0][1] @2915.00 ns: En=1 DoneLatch=0| MACsDone(cur)=27, MACsDone(next_calc)=28/32 | a_R=0000(v1) b_R=c0e0(v1) | mul_R(old)=0000(v1) acc_R(old)=4270 | mul_out(new_mulR)=8000 add_out(new_acc)=4270
PE_DBG_ACCUM[0][0] @2915.00 ns: En=1 DoneLatch=0| MACsDone(cur)=28, MACsDone(next_calc)=29/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=42c0 | mul_out(new_mulR)=0000 add_out(new_acc)=42c0
PE_DBG_ACCUM[0][0] @2925.00 ns: En=1 DoneLatch=0| MACsDone(cur)=29, MACsDone(next_calc)=30/32 | a_R=c100(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=42c0 | mul_out(new_mulR)=8000 add_out(new_acc)=42c0
PE_DBG_ACCUM[0][1] @2925.00 ns: En=1 DoneLatch=0| MACsDone(cur)=28, MACsDone(next_calc)=29/32 | a_R=0000(v1) b_R=c100(v1) | mul_R(old)=8000(v1) acc_R(old)=4270 | mul_out(new_mulR)=8000 add_out(new_acc)=4270
PE_DBG_ACCUM[0][2] @2925.00 ns: En=1 DoneLatch=0| MACsDone(cur)=27, MACsDone(next_calc)=28/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=41b8 | mul_out(new_mulR)=0000 add_out(new_acc)=41b8
PE_DBG_ACCUM[0][3] @2925.00 ns: En=1 DoneLatch=0| MACsDone(cur)=26, MACsDone(next_calc)=27/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=4080 | mul_out(new_mulR)=0000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][3] @2935.00 ns: En=1 DoneLatch=0| MACsDone(cur)=27, MACsDone(next_calc)=28/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=4080 | mul_out(new_mulR)=0000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][2] @2935.00 ns: En=1 DoneLatch=0| MACsDone(cur)=28, MACsDone(next_calc)=29/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=0000(v1) acc_R(old)=41b8 | mul_out(new_mulR)=0000 add_out(new_acc)=41b8
PE_DBG_ACCUM[0][1] @2935.00 ns: En=1 DoneLatch=0| MACsDone(cur)=29, MACsDone(next_calc)=30/32 | a_R=c100(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=4270 | mul_out(new_mulR)=8000 add_out(new_acc)=4270
PE_DBG_ACCUM[0][0] @2935.00 ns: En=1 DoneLatch=0| MACsDone(cur)=30, MACsDone(next_calc)=31/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=42c0 | mul_out(new_mulR)=0000 add_out(new_acc)=42c0
PE_DBG_ACCUM[0][0] @2945.00 ns: En=1 DoneLatch=0| MACsDone(cur)=31, MACsDone(next_calc)=32/32 | a_R=0000(v0) b_R=0000(v0) | mul_R(old)=0000(v1) acc_R(old)=42c0 | mul_out(new_mulR)=0000 add_out(new_acc)=42c0
PE_DBG_VALID[0][0] @2945.00 ns: >>> MAC_COUNT_TARGET (32) Reached. DoneLatch_SET. AccVal NOW FROZEN at 0x42c0 <<<
PE_DBG_ACCUM[0][1] @2945.00 ns: En=1 DoneLatch=0| MACsDone(cur)=30, MACsDone(next_calc)=31/32 | a_R=0000(v1) b_R=40e0(v1) | mul_R(old)=8000(v1) acc_R(old)=4270 | mul_out(new_mulR)=0000 add_out(new_acc)=4270
PE_DBG_ACCUM[0][2] @2945.00 ns: En=1 DoneLatch=0| MACsDone(cur)=29, MACsDone(next_calc)=30/32 | a_R=c100(v1) b_R=c0e0(v1) | mul_R(old)=0000(v1) acc_R(old)=41b8 | mul_out(new_mulR)=4260 add_out(new_acc)=41b8
PE_DBG_ACCUM[0][3] @2945.00 ns: En=1 DoneLatch=0| MACsDone(cur)=28, MACsDone(next_calc)=29/32 | a_R=0000(v1) b_R=c0e0(v1) | mul_R(old)=0000(v1) acc_R(old)=4080 | mul_out(new_mulR)=8000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][3] @2955.00 ns: En=1 DoneLatch=0| MACsDone(cur)=29, MACsDone(next_calc)=30/32 | a_R=c100(v1) b_R=0000(v1) | mul_R(old)=8000(v1) acc_R(old)=4080 | mul_out(new_mulR)=8000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][2] @2955.00 ns: En=1 DoneLatch=0| MACsDone(cur)=30, MACsDone(next_calc)=31/32 | a_R=0000(v1) b_R=0000(v1) | mul_R(old)=4260(v1) acc_R(old)=41b8 | mul_out(new_mulR)=0000 add_out(new_acc)=429e
PE_DBG_ACCUM[0][1] @2955.00 ns: En=1 DoneLatch=0| MACsDone(cur)=31, MACsDone(next_calc)=32/32 | a_R=0000(v0) b_R=40e0(v0) | mul_R(old)=0000(v1) acc_R(old)=4270 | mul_out(new_mulR)=0000 add_out(new_acc)=4270
PE_DBG_VALID[0][1] @2955.00 ns: >>> MAC_COUNT_TARGET (32) Reached. DoneLatch_SET. AccVal NOW FROZEN at 0x4270 <<<
PE_DBG_PAUSED_ACC_FROZEN[0][0] @2955.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x42c0 | mul_out(new_mulR)=0000 add_out(hypo)=42c0
PE_DBG_PAUSED_ACC_FROZEN[0][0] @2965.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x42c0 | mul_out(new_mulR)=0000 add_out(hypo)=42c0
PE_DBG_PAUSED_ACC_FROZEN[0][1] @2965.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=40e0(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4270 | mul_out(new_mulR)=0000 add_out(hypo)=4270
PE_DBG_ACCUM[0][2] @2965.00 ns: En=1 DoneLatch=0| MACsDone(cur)=31, MACsDone(next_calc)=32/32 | a_R=0000(v0) b_R=0000(v0) | mul_R(old)=0000(v1) acc_R(old)=429e | mul_out(new_mulR)=0000 add_out(new_acc)=429e
PE_DBG_VALID[0][2] @2965.00 ns: >>> MAC_COUNT_TARGET (32) Reached. DoneLatch_SET. AccVal NOW FROZEN at 0x429e <<<
PE_DBG_ACCUM[0][3] @2965.00 ns: En=1 DoneLatch=0| MACsDone(cur)=30, MACsDone(next_calc)=31/32 | a_R=0000(v1) b_R=c100(v1) | mul_R(old)=8000(v1) acc_R(old)=4080 | mul_out(new_mulR)=8000 add_out(new_acc)=4080
PE_DBG_ACCUM[0][3] @2975.00 ns: En=1 DoneLatch=0| MACsDone(cur)=31, MACsDone(next_calc)=32/32 | a_R=0000(v0) b_R=c100(v0) | mul_R(old)=8000(v1) acc_R(old)=4080 | mul_out(new_mulR)=8000 add_out(new_acc)=4080
PE_DBG_VALID[0][3] @2975.00 ns: >>> MAC_COUNT_TARGET (32) Reached. DoneLatch_SET. AccVal NOW FROZEN at 0x4080 <<<
PE_DBG_PAUSED_ACC_FROZEN[0][2] @2975.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x429e | mul_out(new_mulR)=0000 add_out(hypo)=429e
PE_DBG_PAUSED_ACC_FROZEN[0][1] @2975.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=40e0(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4270 | mul_out(new_mulR)=0000 add_out(hypo)=4270
PE_DBG_PAUSED_ACC_FROZEN[0][0] @2975.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x42c0 | mul_out(new_mulR)=0000 add_out(hypo)=42c0
PE_DBG_PAUSED_ACC_FROZEN[0][0] @2985.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x42c0 | mul_out(new_mulR)=0000 add_out(hypo)=42c0
PE_DBG_PAUSED_ACC_FROZEN[0][1] @2985.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=40e0(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4270 | mul_out(new_mulR)=0000 add_out(hypo)=4270
PE_DBG_PAUSED_ACC_FROZEN[0][2] @2985.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x429e | mul_out(new_mulR)=0000 add_out(hypo)=429e
PE_DBG_PAUSED_ACC_FROZEN[0][3] @2985.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=c100(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4080 | mul_out(new_mulR)=8000 add_out(hypo)=4080
PE_DBG_PAUSED_ACC_FROZEN[0][3] @2995.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=c100(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4080 | mul_out(new_mulR)=8000 add_out(hypo)=4080
PE_DBG_PAUSED_ACC_FROZEN[0][2] @2995.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x429e | mul_out(new_mulR)=0000 add_out(hypo)=429e
PE_DBG_PAUSED_ACC_FROZEN[0][1] @2995.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=40e0(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4270 | mul_out(new_mulR)=0000 add_out(hypo)=4270
PE_DBG_PAUSED_ACC_FROZEN[0][0] @2995.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x42c0 | mul_out(new_mulR)=0000 add_out(hypo)=42c0
PE_DBG_PAUSED_ACC_FROZEN[0][0] @3005.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x42c0 | mul_out(new_mulR)=0000 add_out(hypo)=42c0
PE_DBG_PAUSED_ACC_FROZEN[0][1] @3005.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=40e0(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4270 | mul_out(new_mulR)=0000 add_out(hypo)=4270
PE_DBG_PAUSED_ACC_FROZEN[0][2] @3005.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x429e | mul_out(new_mulR)=0000 add_out(hypo)=429e
PE_DBG_PAUSED_ACC_FROZEN[0][3] @3005.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=c100(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4080 | mul_out(new_mulR)=8000 add_out(hypo)=4080
PE_DBG_PAUSED_ACC_FROZEN[0][3] @3015.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=c100(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4080 | mul_out(new_mulR)=8000 add_out(hypo)=4080
PE_DBG_PAUSED_ACC_FROZEN[0][2] @3015.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x429e | mul_out(new_mulR)=0000 add_out(hypo)=429e
PE_DBG_PAUSED_ACC_FROZEN[0][1] @3015.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=40e0(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4270 | mul_out(new_mulR)=0000 add_out(hypo)=4270
PE_DBG_PAUSED_ACC_FROZEN[0][0] @3015.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x42c0 | mul_out(new_mulR)=0000 add_out(hypo)=42c0
PE_DBG_PAUSED_ACC_FROZEN[0][0] @3025.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x42c0 | mul_out(new_mulR)=0000 add_out(hypo)=42c0
PE_DBG_PAUSED_ACC_FROZEN[0][1] @3025.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=40e0(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4270 | mul_out(new_mulR)=0000 add_out(hypo)=4270
PE_DBG_PAUSED_ACC_FROZEN[0][2] @3025.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x429e | mul_out(new_mulR)=0000 add_out(hypo)=429e
PE_DBG_PAUSED_ACC_FROZEN[0][3] @3025.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=c100(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4080 | mul_out(new_mulR)=8000 add_out(hypo)=4080
PE_DBG_PAUSED_ACC_FROZEN[0][3] @3035.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=c100(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4080 | mul_out(new_mulR)=8000 add_out(hypo)=4080
PE_DBG_PAUSED_ACC_FROZEN[0][2] @3035.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x429e | mul_out(new_mulR)=0000 add_out(hypo)=429e
PE_DBG_PAUSED_ACC_FROZEN[0][1] @3035.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=40e0(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4270 | mul_out(new_mulR)=0000 add_out(hypo)=4270
PE_DBG_PAUSED_ACC_FROZEN[0][0] @3035.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x42c0 | mul_out(new_mulR)=0000 add_out(hypo)=42c0
PE_DBG_PAUSED_ACC_FROZEN[0][0] @3045.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x42c0 | mul_out(new_mulR)=0000 add_out(hypo)=42c0
PE_DBG_PAUSED_ACC_FROZEN[0][1] @3045.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=40e0(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4270 | mul_out(new_mulR)=0000 add_out(hypo)=4270
PE_DBG_PAUSED_ACC_FROZEN[0][2] @3045.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x429e | mul_out(new_mulR)=0000 add_out(hypo)=429e
PE_DBG_PAUSED_ACC_FROZEN[0][3] @3045.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=c100(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4080 | mul_out(new_mulR)=8000 add_out(hypo)=4080
PE_DBG_PAUSED_ACC_FROZEN[0][3] @3055.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=c100(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4080 | mul_out(new_mulR)=8000 add_out(hypo)=4080
PE_DBG_PAUSED_ACC_FROZEN[0][2] @3055.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x429e | mul_out(new_mulR)=0000 add_out(hypo)=429e
PE_DBG_PAUSED_ACC_FROZEN[0][1] @3055.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=40e0(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4270 | mul_out(new_mulR)=0000 add_out(hypo)=4270
PE_DBG_PAUSED_ACC_FROZEN[0][0] @3055.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x42c0 | mul_out(new_mulR)=0000 add_out(hypo)=42c0
PE_DBG_PAUSED_ACC_FROZEN[0][0] @3065.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x42c0 | mul_out(new_mulR)=0000 add_out(hypo)=42c0
PE_DBG_PAUSED_ACC_FROZEN[0][1] @3065.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=40e0(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4270 | mul_out(new_mulR)=0000 add_out(hypo)=4270
PE_DBG_PAUSED_ACC_FROZEN[0][2] @3065.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x429e | mul_out(new_mulR)=0000 add_out(hypo)=429e
PE_DBG_PAUSED_ACC_FROZEN[0][3] @3065.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=c100(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4080 | mul_out(new_mulR)=8000 add_out(hypo)=4080
PE_DBG_PAUSED_ACC_FROZEN[0][3] @3075.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=c100(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4080 | mul_out(new_mulR)=8000 add_out(hypo)=4080
PE_DBG_PAUSED_ACC_FROZEN[0][2] @3075.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x429e | mul_out(new_mulR)=0000 add_out(hypo)=429e
PE_DBG_PAUSED_ACC_FROZEN[0][1] @3075.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=40e0(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4270 | mul_out(new_mulR)=0000 add_out(hypo)=4270
PE_DBG_PAUSED_ACC_FROZEN[0][0] @3075.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x42c0 | mul_out(new_mulR)=0000 add_out(hypo)=42c0
PE_DBG_PAUSED_ACC_FROZEN[0][0] @3085.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x42c0 | mul_out(new_mulR)=0000 add_out(hypo)=42c0
PE_DBG_PAUSED_ACC_FROZEN[0][1] @3085.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=40e0(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4270 | mul_out(new_mulR)=0000 add_out(hypo)=4270
PE_DBG_PAUSED_ACC_FROZEN[0][2] @3085.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=0000(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x429e | mul_out(new_mulR)=0000 add_out(hypo)=429e
PE_DBG_PAUSED_ACC_FROZEN[0][3] @3085.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=c100(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4080 | mul_out(new_mulR)=8000 add_out(hypo)=4080
PE_DBG_PAUSED_ACC_FROZEN[0][3] @3095.00 ns: DoneLatch=1| MACsDone=32 | a_R=0000(v0) b_R=c100(v0) | mul_R(FROZEN_INPUT)=0000(v0) acc_R(FROZEN)=0x4080 | mul_out(new_mulR)=8000 add_out(hypo)=4080
